,Unnamed: 0,Unnamed: 0.1,Type,Age,Breed1,Gender,Color1,Color2,MaturitySize,FurLength,Vaccinated,Sterilized,Health,Fee,PhotoAmt,AdoptionSpeed
0,0,0,0,3,116,1,0,5,2,2,0,0,171,100,1,2.0
1,1,1,0,1,20,1,0,0,1,1,1,1,171,0,2,0.0
2,2,2,1,1,74,1,1,5,1,1,2,0,171,0,7,3.0
3,3,3,1,4,74,0,0,0,1,2,2,0,171,150,8,2.0
4,4,4,1,1,74,1,0,4,1,2,0,0,171,0,3,2.0
5,5,5,0,3,21,0,2,3,1,2,0,0,171,0,2,2.0
6,6,6,0,12,19,1,0,4,1,0,0,1,171,300,3,1.0
7,7,7,0,2,20,0,4,4,1,1,0,0,171,0,6,1.0
8,8,8,0,12,20,0,0,5,1,1,1,1,171,0,2,4.0
9,9,9,1,2,74,1,0,0,1,2,0,0,171,0,7,1.0
10,10,10,0,3,19,0,0,0,0,0,2,0,171,50,2,1.0
11,11,11,1,2,74,1,1,1,1,0,2,0,171,0,1,2.0
12,12,12,1,3,74,0,1,1,1,1,1,1,171,0,2,2.0
13,13,13,1,78,117,1,0,5,1,1,1,1,171,0,2,4.0
14,14,14,0,6,21,0,1,4,2,2,2,17,171,0,1,3.0
15,15,15,1,8,74,0,1,4,1,2,0,17,171,10,2,4.0
16,16,16,1,2,74,0,0,4,1,2,0,0,171,0,8,2.0
17,17,17,1,12,74,0,1,5,1,1,0,17,171,0,7,2.0
18,18,18,1,10,74,0,0,0,1,1,2,17,171,0,0,4.0
19,19,19,0,3,21,1,1,5,2,2,0,0,171,0,19,1.0
20,20,20,0,36,57,1,3,4,0,1,2,17,171,0,3,2.0
21,21,21,0,2,57,1,3,4,1,1,0,0,171,0,11,1.0
22,22,22,0,1,21,0,0,4,1,2,0,0,171,0,2,2.0
23,23,23,1,14,86,1,0,0,0,2,2,0,171,1,0,3.0
24,24,24,0,1,21,0,1,5,2,2,0,0,171,0,1,2.0
25,25,25,0,1,21,1,0,4,2,2,0,0,171,0,1,1.0
26,26,26,0,3,21,0,0,5,2,2,2,0,171,1,5,4.0
27,27,27,0,12,19,0,4,4,1,0,0,0,171,0,5,1.0
28,28,28,0,2,20,0,1,4,2,1,0,0,171,0,3,1.0
29,29,29,1,12,74,1,0,4,1,2,0,0,171,0,4,1.0
30,30,30,1,12,74,1,2,4,1,1,2,0,171,0,1,3.0
31,31,31,0,2,20,0,5,4,1,1,0,0,171,0,13,3.0
32,32,32,1,5,55,1,5,4,1,2,2,17,171,0,6,3.0
33,33,33,1,12,74,1,1,5,1,1,0,17,171,0,2,4.0
34,34,34,0,5,20,1,6,5,2,0,2,0,171,0,13,3.0
35,35,35,1,72,74,0,1,5,1,2,2,17,171,0,3,4.0
36,36,36,0,60,19,1,0,0,0,0,2,17,171,0,3,2.0
37,37,37,0,6,21,1,0,0,1,2,2,17,171,100,1,4.0
38,38,38,1,2,74,1,1,5,1,2,2,0,171,0,3,3.0
39,39,39,1,3,74,0,1,5,2,2,1,1,172,0,0,3.0
