,Unnamed: 0,Unnamed: 0.1,Type,Age,Breed1,Gender,Color1,Color2,MaturitySize,FurLength,Vaccinated,Sterilized,Health,Fee,PhotoAmt,AdoptionSpeed
0,0,0,0,3,116,1,0,5,2,2,0,0,0,100,1,2
1,1,1,0,1,20,1,0,0,1,1,1,1,0,0,2,0
2,2,2,1,1,74,1,1,5,1,1,2,0,0,0,7,3
3,3,3,1,4,74,0,0,0,1,2,2,0,0,150,8,2
4,4,4,1,1,74,1,0,4,1,2,0,0,0,0,3,2
5,5,5,0,3,21,0,2,3,1,2,0,0,0,0,2,2
6,6,6,0,12,19,1,0,4,1,0,0,1,0,300,3,1
7,7,7,0,2,20,0,4,4,1,1,0,0,0,0,6,1
8,8,8,0,12,20,0,0,5,1,1,1,1,0,0,2,4
9,9,9,1,2,74,1,0,0,1,2,0,0,0,0,7,1
10,10,10,0,3,19,0,0,0,0,0,2,0,0,50,2,1
11,11,11,1,2,74,1,1,1,1,0,2,0,0,0,1,2
12,12,12,1,3,74,0,1,1,1,1,1,1,0,0,2,2
13,13,13,1,78,117,1,0,5,1,1,1,1,0,0,2,4
14,14,14,0,6,21,0,1,4,2,2,2,2,0,0,1,3
15,15,15,1,8,74,0,1,4,1,2,0,2,0,10,2,4
16,16,16,1,2,74,0,0,4,1,2,0,0,0,0,8,2
17,17,17,1,12,74,0,1,5,1,1,0,2,0,0,7,2
18,18,18,1,10,74,0,0,0,1,1,2,2,0,0,0,4
19,19,19,0,3,21,1,1,5,2,2,0,0,0,0,19,1
20,20,20,0,36,57,1,3,4,0,1,2,2,0,0,3,2
21,21,21,0,2,57,1,3,4,1,1,0,0,0,0,11,1
22,22,22,0,1,21,0,0,4,1,2,0,0,0,0,2,2
23,23,23,1,14,86,1,0,0,0,2,2,0,0,1,0,3
24,24,24,0,1,21,0,1,5,2,2,0,0,0,0,1,2
25,25,25,0,1,21,1,0,4,2,2,0,0,0,0,1,1
26,26,26,0,3,21,0,0,5,2,2,2,0,0,1,5,4
27,27,27,0,12,19,0,4,4,1,0,0,0,0,0,5,1
28,28,28,0,2,20,0,1,4,2,1,0,0,0,0,3,1
29,29,29,1,12,74,1,0,4,1,2,0,0,0,0,4,1
30,30,30,1,12,74,1,2,4,1,1,2,0,0,0,1,3
31,31,31,0,2,20,0,5,4,1,1,0,0,0,0,13,3
32,32,32,1,5,55,1,5,4,1,2,2,2,0,0,6,3
33,33,33,1,12,74,1,1,5,1,1,0,2,0,0,2,4
34,34,34,0,5,20,1,6,5,2,0,2,0,0,0,13,3
35,35,35,1,72,74,0,1,5,1,2,2,2,0,0,3,4
36,36,36,0,60,19,1,0,0,0,0,2,2,0,0,3,2
37,37,37,0,6,21,1,0,0,1,2,2,2,0,100,1,4
38,38,38,1,2,74,1,1,5,1,2,2,0,0,0,3,3
39,39,39,1,3,74,0,1,5,2,2,1,1,1,0,0,3
40,40,40,0,5,21,1,0,5,1,2,0,0,0,30,4,4
41,41,41,1,24,74,0,2,4,1,1,2,2,0,0,2,2
42,42,42,1,4,74,1,2,4,0,1,0,0,0,0,3,1
43,43,43,0,1,21,0,6,4,1,2,0,0,0,0,5,1
44,44,44,1,9,74,1,1,1,1,2,2,1,0,0,2,4
45,45,45,1,60,74,0,1,1,1,2,0,2,0,0,2,4
46,46,46,1,2,74,1,0,0,1,1,0,0,0,0,5,2
47,47,47,1,48,98,0,1,1,1,1,2,0,0,0,5,1
48,48,48,0,3,21,0,1,4,1,2,0,0,0,0,1,4
49,49,49,0,9,21,0,1,5,1,2,0,0,0,0,1,2
50,50,50,1,62,74,1,0,2,1,1,2,2,0,0,3,4
51,51,51,1,1,74,0,0,0,1,1,0,0,0,0,1,3
52,52,52,1,2,62,1,0,0,2,2,2,0,0,0,5,1
53,53,53,1,2,74,1,0,0,2,2,2,0,0,0,3,4
54,54,54,1,2,74,0,1,1,1,2,0,0,0,0,1,0
55,55,55,1,12,74,0,1,4,1,2,2,2,0,0,3,3
56,56,56,1,2,74,1,1,4,1,1,2,0,0,0,5,1
57,57,57,1,1,74,0,1,5,1,2,2,0,0,0,1,3
58,58,58,1,2,74,0,0,0,1,2,2,0,0,0,1,4
59,59,59,1,3,103,1,0,0,2,0,2,1,0,750,2,1
60,60,60,1,3,74,1,0,5,1,1,0,0,0,0,1,2
61,61,61,1,3,74,1,2,4,1,1,1,0,0,0,3,3
62,62,62,0,6,20,0,2,5,1,1,0,0,0,50,4,3
63,63,63,0,47,150,0,0,0,1,0,0,0,0,0,2,4
64,64,64,1,2,86,1,0,0,0,1,1,1,0,0,4,2
65,65,65,1,12,74,0,2,4,1,1,2,2,0,0,11,3
66,66,66,1,2,74,1,0,5,1,2,2,0,0,0,18,3
67,67,67,1,1,74,1,1,4,1,2,0,0,0,0,5,3
68,68,68,0,24,21,1,6,4,0,2,0,0,1,0,12,3
69,69,69,0,24,21,0,1,6,1,2,0,2,0,0,1,4
70,70,70,1,2,74,1,0,0,1,2,0,0,0,0,2,3
71,71,71,0,19,57,0,0,3,0,0,2,0,0,0,3,1
72,72,72,1,4,103,0,1,4,2,0,1,2,0,0,3,3
73,73,73,1,24,74,1,1,5,1,2,0,0,0,0,3,3
74,74,74,0,3,20,1,0,5,1,1,1,0,0,0,1,1
75,75,75,1,24,50,0,0,3,1,1,1,2,0,0,2,2
76,76,76,1,60,91,1,4,4,1,1,2,2,0,0,3,4
77,77,77,1,1,74,0,0,0,1,1,2,0,0,0,1,3
78,78,78,0,3,21,0,1,2,2,2,2,0,0,0,7,1
79,79,79,0,2,20,1,3,4,2,1,0,0,0,0,2,2
80,80,80,1,2,74,0,0,0,1,2,0,0,0,0,2,3
81,81,81,0,2,21,0,4,5,1,2,0,0,0,0,2,1
